Phase,Step,Ux,Uy,Uz,Fx,Fy,Fz,Mx,My,Mz,Rotx,Roty,Rotz
2,0,7.3909550337703e-06,-2.78038231327216e-10,-2.00234040903524e-07,1.97784519195557,-6.69221335556358e-05,-0.000851265445817262,0.000129587308038026,234.454879760742,-0.000156921363668516,-1.00205935586027e-08,0.000132288315615581,1.87837258013273e-09
2,1,2.23345814447384e-05,-3.42912076511936e-09,-5.71457860587543e-07,5.8227162361145,0.00139661540742964,-0.335658431053162,0.00362488999962807,694.673095703125,-0.00491920905187726,-1.29421111445891e-08,0.000396389897163966,4.23660935998458e-09
2,2,2.98937538900645e-05,-4.81320849843314e-09,-6.36544541521289e-07,7.82745504379272,0.000522203161381185,0.223062172532082,0.2174132168293,924.684448242188,-0.0567762777209282,-2.96841359254271e-08,0.000529333355340832,3.68916632467106e-09
2,3,3.36565608449746e-05,-5.3797299948144e-09,-6.37880134490842e-07,8.77095508575439,0.000630558060947806,-0.047661729156971,0.104857914149761,1036.53161621094,-0.0117159131914377,-3.86344966878774e-08,0.000595723427733484,7.47470107077445e-09
2,4,4.11696237279102e-05,-5.93319438024764e-09,-5.92996855175443e-07,10.6765203475952,0.00310911750420928,-0.635112762451172,0.0422097183763981,1258.38696289062,-0.0250918064266443,-7.27065576573984e-08,0.000728277726877745,1.42108248653608e-08
2,5,4.86823191749863e-05,-5.24256682510327e-09,-4.75252505793833e-07,12.5459747314453,0.00298792659305036,-0.846277058124542,0.0574465617537498,1478.49426269531,-0.00679265661165118,-1.19211438682307e-07,0.000860392163757112,1.96073785419818e-08
2,6,5.61957167519722e-05,-4.16411616299683e-09,-3.05487304785856e-07,14.3662481307983,0.00212236866354942,-1.00050246715546,0.0909775793552399,1696.669921875,0.0095928106456995,-1.73591315848535e-07,0.000992178149996079,2.41578665066773e-08
2,7,7.12535183993168e-05,-1.7687724895854e-10,1.7396818918769e-07,17.9892749786377,-0.0136032467707992,-1.52430129051209,-0.272106945514679,2125.99926757813,0.132974624633789,-2.45854663211072e-07,0.00125472042476589,1.11561438159709e-08
2,8,8.63451641635038e-05,3.38921424258842e-09,8.19863544165855e-07,21.5811786651611,-0.0105215134099126,-1.7802232503891,-0.454208582639694,2548.1455078125,0.107582040131092,-2.60286926244743e-07,0.00151609167894374,-5.73921828904582e-09
2,9,0.000101470403023995,5.27312282727621e-09,1.58996112986642e-06,25.1219081878662,-0.00446273246780038,-2.28316950798035,-0.583266139030457,2964.01196289063,0.0779794603586197,-2.28100857868017e-07,0.00177652265653023,-1.72708253924555e-08
2,10,0.000131828914163634,7.64126895091976e-09,3.39942721439002e-06,32.1351509094238,0.027135506272316,-3.74392175674438,-0.189626395702362,3780.86694335937,-0.278122931718826,-1.30349957454511e-07,0.00229506466524745,-2.5300041859447e-08
2,11,0.000192979321582243,9.35522415090873e-09,7.52173309592763e-06,45.8794059753418,0.0737627148628235,-8.67930221557617,0.869341373443603,5372.9599609375,-0.784242928028107,8.38282004064621e-08,0.0033262829492397,-1.95703759688177e-08
2,12,0.00031677758670412,2.52797907052127e-08,1.67216840054607e-05,71.3653182983398,0.0412087924778461,-18.4966888427734,3.373703956604,8427.4501953125,-0.11573152244091,2.6665592338328e-07,0.00537179703986958,9.59004982275965e-08
2,13,0.000517541950102895,5.25636494330684e-08,3.40341139235534e-05,110.756446838379,0.0643735006451607,-19.5859336853027,3.25609302520752,12726.015625,-1.64436197280884,1.18865483388495e-07,0.00852299469314155,6.35874175802215e-08
2,14,0.000728275103028864,1.00728335894473e-07,5.55721671844367e-05,140.12956237793,-0.041071955114603,-4.39780187606812,2.32509803771973,16401.736328125,0.0370569191873074,-5.91419715686024e-07,0.011628967356062,3.78539567634994e-08
2,15,0.000943613995332271,1.56454518673854e-07,7.42228075978346e-05,168.184356689453,0.0263397488743067,7.64268159866333,0.414327383041382,19789.5546875,-0.0552429705858231,-8.39575802820166e-07,0.0147541107391467,-6.88985049817196e-08
2,16,0.00105392106343061,1.2230377421929e-07,8.327162504429e-05,176.477279663086,0.0547115169465542,11.143159866333,0.896547138690949,21319.326171875,0.962912380695343,-1.5627255949703e-07,0.0163168733624908,3.03939072359206e-07
2,17,0.00127642473671585,-7.83889930744408e-08,0.000102330130175687,207.765289306641,-0.0820320248603821,12.2435989379883,0.184040501713753,24178.46484375,0.393774569034576,2.67023514082257e-06,0.0194340726486015,8.19661103182087e-07
2,18,0.00150046136695892,-2.1035054942331e-07,0.000123650854220614,228.510818481445,0.0404920317232609,13.8490390777588,-0.811795592308044,26720.513671875,0.611100494861603,5.13429135875245e-06,0.0225428826081217,1.03503564576982e-06
2,19,0.00172482011839747,-2.91721050871274e-07,0.000147564191138372,246.579452514648,0.235703736543655,12.7869262695313,-0.64684522151947,29036.669921875,1.41294014453888,7.72096594920612e-06,0.0256408603145051,9.29868086227922e-07
2,20,0.00194916012696922,-2.94335649186905e-07,0.000174237778992392,264.959808349609,0.0425261445343494,10.5045833587646,-3.65446853637695,31170.40234375,0.807605981826782,9.14745520695073e-06,0.02872661171547,2.40113227677843e-07
2,21,0.00217337813228369,-1.79557360979743e-07,0.000204101248527877,281.119995117187,-0.476016849279404,6.72507953643799,-4.93519639968872,33137.24609375,2.24548721313477,8.61156197111582e-06,0.0317948007257271,-3.42490575653225e-07
2,22,0.0023971360642463,-5.97902314325438e-08,0.000236189167480916,298.745178222656,-0.0607278347015381,2.20611143112183,-8.10957336425781,34995.359375,0.670497596263885,7.40899597627621e-06,0.03485024316225,2.06084116918741e-07
2,23,0.0026202923618257,1.7916877936841e-07,0.000271463126409799,311.834106445312,0.212261110544205,-1.06543278694153,-8.77496910095215,36717.98046875,-1.75168967247009,5.18224333490744e-06,0.0378862589132674,3.62520258704148e-07
2,24,0.00284267822280526,3.26579822740314e-07,0.000308935908833519,326.838043212891,0.632091462612152,-4.84068250656128,-9.57697200775146,38357.79296875,-8.60828304290771,3.50301671906551e-06,0.040905922897927,3.19814213107451e-07
2,25,0.00306399865075946,5.85512111683784e-07,0.000349297682987526,339.052337646484,1.0840665102005,-9.54482078552246,-5.06795787811279,39891.70703125,-11.439489364624,1.58333843908318e-06,0.0439043959538825,5.0215365732957e-07
2,26,0.00328387529589236,8.39680978970136e-07,0.000393311842344701,350.097930908203,1.58309245109558,-14.8130311965942,-0.969738960266113,41308.921875,-15.0139045715332,-5.27262533540165e-07,0.0468766021300024,8.26432224210111e-07
2,27,0.00350198987871408,1.14094655145891e-06,0.000441314943600446,362.526275634766,1.10978090763092,-21.199068069458,6.25402164459229,42629.38671875,-7.93234539031982,-2.95351600163692e-06,0.0498211306987386,5.82727081630522e-07
2,28,0.00371812819503248,1.473438260291e-06,0.000493590428959578,375.515686035156,-0.0161041375249624,-26.4017696380615,13.0733156204224,43871.65234375,-1.81801044940948,-5.64130047630318e-06,0.0527364108499841,-4.74410467620725e-07
2,29,0.00393211841583252,1.72346017279779e-06,0.000550004653632641,388.142852783203,1.16819298267364,-28.8892288208008,11.0393056869507,45058.9765625,-3.9330198764801,-8.06084012424506e-06,0.0556245703477479,-1.31381263759972e-06
2,30,0.00414399709552526,1.8896748770203e-06,0.000610395800322294,399.340148925781,-0.545135378837586,-30.8531436920166,15.0602779388428,46188.71875,5.34662055969238,-9.46203476138568e-06,0.058486776460687,-1.79574605848629e-06
2,31,0.00435396516695619,1.95815687220602e-06,0.000674276088830084,407.712982177734,-0.986513912677765,-31.802713394165,13.713005065918,47272.48046875,4.6555585861206,-1.02529724533505e-05,0.0613264009276933,-1.42880266599773e-06
2,32,0.00455840863287449,1.64717835104966e-06,0.000748661288525909,411.442840576172,0.647095859050751,-26.6086883544922,9.53457260131836,48256.0078125,3.3075544834137,-6.35586495903499e-06,0.0641029261861564,-6.4997230248327e-07
2,33,0.00476248795166612,1.28541375943314e-06,0.000823514070361853,417.427520751953,0.301390826702118,-22.9921817779541,6.58141326904297,49234.08984375,-4.1698317527771,-2.2180425015403e-06,0.0668769434845336,2.47988281069147e-07
2,34,0.00496759312227368,9.73449573393736e-07,0.000896859099157155,423.271759033203,0.0600005462765694,-9.80487823486328,6.54693698883057,50203.7109375,-0.793633103370666,4.10894841520774e-08,0.0696600921588617,2.35686633449932e-06
2,35,0.00517318584024906,8.72083035119431e-07,0.000969865825027227,433.40869140625,-0.225123018026352,2.9151782989502,4.65033578872681,51160.3515625,0.432935029268265,-9.22441465602267e-07,0.0724447749577105,5.14947212080264e-06
2,36,0.00537899602204561,1.00195723007346e-06,0.00104296708013862,441.249633789063,-0.00928082223981619,10.5441703796387,1.55723333358765,52085.859375,0.393997639417648,-4.74371557986974e-06,0.0752292109626146,5.27259999274195e-06
2,37,0.00558452727273107,8.5303150854088e-07,0.00111721246503294,448.511688232422,-0.148337453603745,13.7598743438721,-3.45537161827087,52982.84375,-0.453685879707337,-4.25216365273767e-06,0.0780061897883272,7.63093905128098e-06
2,38,0.00578979030251503,7.20805871878838e-07,0.00119196611922234,454.421600341797,-0.531338214874268,15.5920362472534,-5.18920946121216,53860.1328125,4.3375825881958,-3.63487834327124e-06,0.0807797601895615,9.52213737242361e-06
2,39,0.00599470129236579,5.22954849202506e-07,0.00126743095461279,463.320678710937,-0.0335888341069222,18.2005481719971,-6.80379676818848,54720.51171875,1.63165831565857,-2.29057563627314e-06,0.0835484280624364,1.17913276714628e-05
2,40,0.00619911402463913,3.58033560132753e-07,0.00134373770561069,472.467834472656,1.45839715003967,21.9756393432617,-10.5515308380127,55573.41796875,-2.47656226158142,4.88027261878506e-07,0.0863117198293826,1.31415251421742e-05
2,41,0.00640278961509466,1.55664324097415e-07,0.0014211357338354,476.883605957031,2.31828427314758,25.4379901885986,-12.3758974075317,56404.140625,-11.7054004669189,4.75379116998962e-06,0.0890685349228092,1.49161545566861e-05
2,42,0.00660539465025067,-8.71266507829205e-08,0.00149978569243103,484.613616943359,2.1395366191864,25.7365627288818,-9.03661155700684,57218.87890625,-4.47958135604858,9.00592388229135e-06,0.0918190734459144,1.80106915693449e-05
2,43,0.00680704414844513,-3.63444826234627e-07,0.00157993310131133,493.254608154297,-0.952862799167633,26.996753692627,-6.79271602630615,58012.2578125,1.53107404708862,1.26866966627275e-05,0.0945603538610432,2.07796651728096e-05
2,44,0.00700771668925881,-5.38007327577361e-07,0.00166147795971483,503.795074462891,-2.27010440826416,25.1822929382324,-4.27064847946167,58786.68359375,7.88423538208008,1.41184107830362e-05,0.0972934167048268,2.29866025005129e-05
2,45,0.00720758317038417,-6.39061283891351e-07,0.0017443704418838,507.331420898438,-3.85448384284973,26.7536010742187,-1.34202313423157,59548.78125,15.2872772216797,1.35797044101966e-05,0.100017815080122,2.44564523365633e-05
2,46,0.00740690715610981,-7.64455592161539e-07,0.00182830321136862,514.088195800781,-5.20656585693359,26.8270778656006,-5.71745157241821,60304.19921875,12.0572118759155,1.3206486215877e-05,0.10273508311145,2.53398001542427e-05
2,47,0.007605723105371,-7.12712846961949e-07,0.00191329361405224,519.193542480469,0.72136652469635,26.1411170959473,-13.3523254394531,61045.6953125,5.9116702079773,1.17901071526872e-05,0.10544488729348,2.40768636693277e-05
2,48,0.00780412228778005,-7.04810531715339e-07,0.00199905806221068,528.732543945313,1.95272898674011,25.0646743774414,-13.0057945251465,61782.390625,-1.07042241096497,1.12472401054355e-05,0.108149442101607,2.16724726216671e-05
2,49,0.00800228770822287,-6.97494272117183e-07,0.00208570016548038,535.929992675781,0.611142158508301,24.8988456726074,-6.5055456161499,62498.109375,0.530517220497131,1.19955931726592e-05,0.110846813204913,1.96604779532777e-05
2,50,0.00820017419755459,-8.87598503140907e-07,0.00217300513759255,540.932922363281,-0.873579680919647,26.1221351623535,-1.31498682498932,63203.578125,-1.66868031024933,1.53902174024024e-05,0.113539288449967,1.84338867099297e-05
2,51,0.00839782040566206,-1.2578659607243e-06,0.00226099486462772,544.915466308594,-1.16026270389557,27.5959491729736,3.43274116516113,63898.0078125,2.72017979621887,2.12575353205906e-05,0.116226460960264,1.8318363264345e-05
2,52,0.0085950056090951,-1.78164702901995e-06,0.00234958971850574,551.098083496094,-1.94076585769653,29.1373233795166,4.43599081039429,64584.7578125,1.4668380022049,2.79583739270409e-05,0.118910205035763,1.96115236698426e-05
2,53,0.00879185274243355,-2.4545533960918e-06,0.00243875687010586,557.930725097656,-2.12014579772949,30.5528240203857,1.57253003120422,65262.15234375,-0.527587354183197,3.53528515108626e-05,0.121590187171134,2.18740414196045e-05
2,54,0.00898839998990297,-3.23973017657409e-06,0.00252853706479073,565.1181640625,0.306796371936798,32.1566696166992,4.67019367218018,65933.2109375,-3.81992340087891,4.3760745619729e-05,0.12426584707742,2.41736225547361e-05
